ANO,MES,ESTADO,REGIAO,CONSUMO_T
2004,JAN,RONDÔNIA,NORTE,13420
2004,JAN,ACRE,NORTE,4105
2004,JAN,AMAZONAS,NORTE,34293
2004,JAN,RORAIMA,NORTE,"5752,5"
2004,JAN,PARÁ,NORTE,110204
2004,JAN,AMAPÁ,NORTE,10000
2004,JAN,TOCANTINS,NORTE,19115
2004,JAN,MARANHÃO,NORDESTE,42076
2004,JAN,PIAUÍ,NORDESTE,18413
2004,JAN,CEARÁ,NORDESTE,75575
2004,JAN,RIO GRANDE DO NORTE,NORDESTE,32845
2004,JAN,PARAÍBA,NORDESTE,31891
2004,JAN,PERNAMBUCO,NORDESTE,76341
2004,JAN,ALAGOAS,NORDESTE,24166
2004,JAN,SERGIPE,NORDESTE,19642
2004,JAN,BAHIA,NORDESTE,129857
2004,JAN,AJUSTES,NORDESTE,1000
2004,JAN,MINAS GERAIS,SUDESTE,249680
2004,JAN,ESPÍRITO SANTO,SUDESTE,48646
2004,JAN,RIO DE JANEIRO,SUDESTE,"256494,044"
2004,JAN,SÃO PAULO,SUDESTE,"706730,927"
2004,JAN,AJUSTES,SUDESTE,77000
2004,JAN,PARANÁ,SUL,"185712,45"
2004,JAN,SANTA CATARINA,SUL,135344
2004,JAN,RIO GRANDE DO SUL,SUL,174261
2004,JAN,AJUSTES,SUL,10000
2004,JAN,MATO GROSSO,CENTRO-OESTE,51972
2004,JAN,MATO GROSSO DO SUL,CENTRO-OESTE,36256
2004,JAN,GOIÁS,CENTRO-OESTE,93660
2004,JAN,DISTRITO FEDERAL,CENTRO-OESTE,46442
2004,FEV,RONDÔNIA,NORTE,11302
2004,FEV,ACRE,NORTE,3898
2004,FEV,AMAZONAS,NORTE,"48622,852"
2004,FEV,RORAIMA,NORTE,5006
2004,FEV,PARÁ,NORTE,76354
2004,FEV,AMAPÁ,NORTE,6136
2004,FEV,TOCANTINS,NORTE,22973
2004,FEV,MARANHÃO,NORDESTE,30183
2004,FEV,PIAUÍ,NORDESTE,16605
2004,FEV,CEARÁ,NORDESTE,53065
2004,FEV,RIO GRANDE DO NORTE,NORDESTE,26809
2004,FEV,PARAÍBA,NORDESTE,26089
2004,FEV,PERNAMBUCO,NORDESTE,65040
2004,FEV,ALAGOAS,NORDESTE,21774
2004,FEV,SERGIPE,NORDESTE,17778
2004,FEV,BAHIA,NORDESTE,126813
2004,FEV,AJUSTES,NORDESTE,1000
2004,FEV,MINAS GERAIS,SUDESTE,219561
2004,FEV,ESPÍRITO SANTO,SUDESTE,43597
2004,FEV,RIO DE JANEIRO,SUDESTE,214974
2004,FEV,SÃO PAULO,SUDESTE,"697361,355"
2004,FEV,AJUSTES,SUDESTE,78000
2004,FEV,PARANÁ,SUL,170875
2004,FEV,SANTA CATARINA,SUL,127693
2004,FEV,RIO GRANDE DO SUL,SUL,"164909,054"
2004,FEV,AJUSTES,SUL,10000
2004,FEV,MATO GROSSO,CENTRO-OESTE,40729
2004,FEV,MATO GROSSO DO SUL,CENTRO-OESTE,33675
2004,FEV,GOIÁS,CENTRO-OESTE,85349
2004,FEV,DISTRITO FEDERAL,CENTRO-OESTE,43234
2004,MAR,RONDÔNIA,NORTE,16993
2004,MAR,ACRE,NORTE,4209
2004,MAR,AMAZONAS,NORTE,"34554,525"
2004,MAR,RORAIMA,NORTE,5470
2004,MAR,PARÁ,NORTE,77171
2004,MAR,AMAPÁ,NORTE,5122
2004,MAR,TOCANTINS,NORTE,30126
2004,MAR,MARANHÃO,NORDESTE,40701
2004,MAR,PIAUÍ,NORDESTE,22084
2004,MAR,CEARÁ,NORDESTE,67755
2004,MAR,RIO GRANDE DO NORTE,NORDESTE,34465
2004,MAR,PARAÍBA,NORDESTE,32066
2004,MAR,PERNAMBUCO,NORDESTE,88306
2004,MAR,ALAGOAS,NORDESTE,28228
2004,MAR,SERGIPE,NORDESTE,21180
2004,MAR,BAHIA,NORDESTE,152225
2004,MAR,AJUSTES,NORDESTE,6000
2004,MAR,MINAS GERAIS,SUDESTE,304641
2004,MAR,ESPÍRITO SANTO,SUDESTE,56331
2004,MAR,RIO DE JANEIRO,SUDESTE,273646
2004,MAR,SÃO PAULO,SUDESTE,"859304,048"
2004,MAR,AJUSTES,SUDESTE,86000
2004,MAR,PARANÁ,SUL,204477
2004,MAR,SANTA CATARINA,SUL,151570
2004,MAR,RIO GRANDE DO SUL,SUL,202662
2004,MAR,AJUSTES,SUL,10000
2004,MAR,MATO GROSSO,CENTRO-OESTE,54446
2004,MAR,MATO GROSSO DO SUL,CENTRO-OESTE,43734
2004,MAR,GOIÁS,CENTRO-OESTE,116097
2004,MAR,DISTRITO FEDERAL,CENTRO-OESTE,54587
2004,ABR,RONDÔNIA,NORTE,16214
2004,ABR,ACRE,NORTE,2994
2004,ABR,AMAZONAS,NORTE,"57805,072"
